product_id,product_category,date,original_price,discount_percentage,selling_price,units_sold,sales_volume,inventory_level,stock_status,competitor_price,customer_rating,store_region,promotion_flag,is_holiday
1049,Home,31-01-2025,4075.38,20,3260.3,17,55425.1,390,In Stock,3375.93,4.2,East,1,0
1357,Groceries,30-12-2025,3250.85,15,2763.22,23,63554.06,159,In Stock,2775.2,3.1,South,0,0
1727,Electronics,10-05-2024,1657.86,30,1160.5,18,20889,279,In Stock,1070.36,3.2,North,1,0
1905,Books,18-07-2025,4918.14,5,4672.23,15,70083.45,256,In Stock,4948.7,2.7,Central,1,0
1927,Clothing,04-02-2025,1515.85,30,1061.09,25,26527.25,110,In Stock,1074.75,3,North,0,0
1563,Groceries,31-12-2024,1172.75,15,996.84,22,21930.48,46,In Stock,1055.82,5,North,0,0
1782,Home,10-11-2024,2322.34,5,2206.22,18,39711.96,178,In Stock,2053.95,3.5,North,1,0
1484,Electronics,02-05-2022,472.83,5,449.19,26,11678.94,35,In Stock,452.64,4.8,East,1,0
1083,Electronics,12-04-2023,4896.77,0,4896.77,19,93038.63,410,In Stock,5157.89,2.9,North,0,0
1898,Groceries,23-05-2025,3024.48,20,2419.58,15,36293.7,197,In Stock,2655.88,3,East,1,0
1804,Home,27-11-2022,2873.37,0,2873.37,24,68960.88,41,In Stock,3094.27,3.9,South,0,0
1637,Electronics,29-03-2022,3347.82,0,3347.82,21,70304.22,478,In Stock,3591.78,3.4,South,1,0
1807,Clothing,28-10-2025,2585.71,30,1810,27,48870,331,In Stock,1718.58,4.1,West,0,0
1583,Electronics,28-01-2025,353.9,15,300.82,13,3910.66,89,In Stock,321.15,3.6,North,0,0
1295,Home,21-05-2024,3139.09,30,2197.36,18,39552.48,344,In Stock,2052.02,4.5,Central,1,0
1235,Books,11-05-2022,3637.63,15,3091.99,15,46379.85,67,In Stock,2905.3,3.6,West,1,1
1055,Books,25-08-2025,2200.4,30,1540.28,20,30805.6,69,In Stock,1420.17,3.9,West,1,0
1918,Groceries,09-02-2024,3835.02,5,3643.27,18,65578.86,109,In Stock,3903.83,3.3,South,0,0
1359,Home,10-12-2022,1289.61,15,1096.17,19,20827.23,381,In Stock,1010.29,4.3,Central,1,0
1906,Electronics,08-12-2025,1262.13,15,1072.81,17,18237.77,396,In Stock,995.16,4.1,North,0,1
1109,Electronics,16-03-2024,974.8,30,682.36,15,10235.4,408,In Stock,647.68,3.5,North,0,0
1191,Books,21-01-2023,1985.57,10,1787.01,27,48249.27,350,In Stock,1812.98,3.2,South,1,0
1903,Books,30-04-2025,4265.66,5,4052.38,27,109414.26,21,In Stock,4360.51,4,East,1,0
1092,Clothing,13-08-2024,4173.98,5,3965.28,7,27756.96,482,In Stock,3900.43,4.9,South,0,0
1861,Books,04-10-2022,2037.56,10,1833.8,21,38509.8,276,In Stock,1850.78,2.8,Central,1,0
1567,Clothing,30-03-2025,3027.77,30,2119.44,24,50866.56,398,In Stock,1978.07,4.5,East,0,0
1059,Electronics,05-04-2023,3659.92,30,2561.94,30,76858.2,194,In Stock,2442.01,3.9,Central,0,0
1649,Clothing,30-08-2025,1357.79,5,1289.9,30,38697,420,In Stock,1195.46,3.8,North,1,0
1038,Clothing,22-01-2022,1007.08,30,704.96,17,11984.32,44,In Stock,692.26,4.9,East,0,0
1539,Groceries,10-09-2022,4866.06,20,3892.85,17,66178.45,409,In Stock,3963.18,4,Central,0,0
1048,Books,18-01-2024,3164.28,20,2531.42,21,53159.82,110,In Stock,2422.07,4.6,North,1,0
1419,Clothing,06-05-2024,4910.8,10,4419.72,24,106073.28,208,In Stock,4725.56,3.8,Central,0,0
1636,Electronics,20-04-2023,1821.23,15,1548.05,22,34057.1,229,In Stock,1697.05,3.1,East,0,0
1012,Home,18-12-2024,3574.55,20,2859.64,20,57192.8,438,In Stock,2642.4,4.2,North,0,0
1991,Clothing,26-05-2023,1268.5,30,887.95,24,21310.8,177,In Stock,802.33,4.8,Central,1,0
1035,Books,01-12-2023,1453.76,10,1308.38,25,32709.5,418,In Stock,1384.21,4.6,West,1,0
1100,Groceries,02-09-2024,2657.13,20,2125.7,14,29759.8,249,In Stock,1994.18,3,East,0,0
1793,Electronics,09-07-2022,1734.17,0,1734.17,22,38151.74,424,In Stock,1683.24,3.3,East,1,0
1085,Groceries,15-08-2024,1004.58,10,904.12,16,14465.92,327,In Stock,884.99,3.8,East,1,0
1515,Home,18-11-2023,1461.83,5,1388.74,11,15276.14,371,In Stock,1504.45,3.9,North,1,0
1222,Clothing,15-08-2024,371.59,20,297.27,19,5648.13,10,In Stock,306.71,3,East,1,0
1337,Clothing,17-07-2023,3581.23,5,3402.17,26,88456.42,251,In Stock,3089.59,3.1,Central,0,0
1959,Books,21-06-2025,2562.16,10,2305.94,15,34589.1,343,In Stock,2082.18,4.4,West,1,0
1165,Clothing,11-04-2024,652.37,20,521.9,16,8350.4,234,In Stock,490.54,4.3,Central,1,0
